name,latitude,longitude
Auckland,-36.8485,174.7633
Wellington,-41.2866,174.7756
Christchurch,-43.532,172.6306
Hamilton,-37.787,175.2793
Tauranga,-37.6878,176.1651
Dunedin,-45.8788,170.5028
Napier,-39.4928,176.912
Nelson,-41.2708,173.284
Rotorua,-38.1368,176.2497
Palmerston North,-40.3564,175.6117
New Plymouth,-39.0556,174.0752
Whangarei,-35.7275,174.3166
Invercargill,-46.4132,168.3538
Queenstown,-45.0312,168.6626
Gisborne,-38.6623,178.0176
Blenheim,-41.5134,173.9612
Whanganui,-39.9301,175.0478
Timaru,-44.397,171.255
Taupo,-38.6857,176.0702
Masterton,-40.9597,175.6574
Levin,-40.6333,175.2833
Ashburton,-43.9083,171.7485
Kaikoura,-42.4008,173.6842
Oamaru,-45.0975,170.9704
Greymouth,-42.4504,171.2108
Whakatane,-37.9585,176.991
Kerikeri,-35.2279,173.9474
Te Awamutu,-38.0061,175.3145
Tokoroa,-38.2333,175.8667
Paraparaumu,-40.9167,175.0167
Hawera,-39.5917,174.2833
Feilding,-40.225,175.5667
Rangiora,-43.3031,172.5947
Cambridge,-37.8833,175.4667
Pukekohe,-37.2,174.9
Waiuku,-37.25,174.7333
Motueka,-41.1333,173.0167
Gore,-46.1,168.945
Morrinsville,-37.65,175.5333
Thames,-37.1383,175.54
Kaitaia,-35.1167,173.2667
Waitara,-39.0014,174.2383
Warkworth,-36.4,174.6667
Matamata,-37.8167,175.7667
Katikati,-37.55,175.9167
Cromwell,-45.0333,169.2
Dargaville,-35.9333,173.8833
Waipukurau,-39.9938,176.5553
Kaiapoi,-43.3833,172.65
Te Puke,-37.7833,176.3167
Waihi,-37.3917,175.8417
Marton,-40.0667,175.3833
Balclutha,-46.2417,169.75
Otaki,-40.7583,175.15
Huntly,-37.5667,175.1667
Dannevirke,-40.2057,176.0995
Stratford,-39.3433,174.2833
Picton,-41.29,174.001
Takaka,-40.85,172.8
Foxton,-40.4667,175.2833
Carterton,-41.0292,175.5225
Te Kuiti,-38.3333,175.1667
Wairoa,-39.0333,177.4167
Paeroa,-37.3667,175.6667
Opotiki,-38.0167,177.2833
Temuka,-44.25,171.2833
Bluff,-46.6,168.3333
Alexandra,-45.25,169.3833
Ngaruawahia,-37.6667,175.15
Taihape,-39.675,175.7967
Inglewood,-39.1597,174.2097
Geraldine,-44.0917,171.2417
Whitianga,-36.8333,175.7
Waimate,-44.7333,171.05
Raglan,-37.8,174.8833
Rolleston,-43.5917,172.3833
Taumarunui,-38.8833,175.2667
Putaruru,-38.05,175.7833
Whangamata,-37.2167,175.8667
Oxford,-43.3,172.1833
Te Aroha,-37.5333,175.7167
Milton,-46.1167,169.9667
Snells Beach,-36.4231,174.7276
Coromandel,-36.7667,175.5
Helensville,-36.6833,174.45
Murupara,-38.4585,176.7042
Twizel,-44.2667,170.1
Kawerau,-38.1,176.7
Reefton,-42.1167,171.8667
Featherston,-41.1167,175.3333
Greytown,-41.07,175.45
Amberley,-43.1667,172.7333
Winton,-46.15,168.3333
Pleasant Point,-44.2667,171.1333
Ngatea,-37.2833,175.5
Methven,-43.6333,171.65
Opunake,-39.4583,173.8528
Kaikohe,-35.4,173.8
Manaia,-39.55,174.1333
Havelock North,-39.6667,176.8833
Waikanae,-40.875,175.0667
Mosgiel,-45.8667,170.35
Lincoln,-43.65,172.4833
Ohope,-37.9833,177.0833
Papamoa,-37.7333,176.3
Wanaka,-44.7,169.15
Martinborough,-41.2167,175.45
Pegasus,-43.3167,172.7
Hanmer Springs,-42.5167,172.8167
Eltham,-39.4333,174.3
Te Anau,-45.4167,167.7167
Kamo,-35.6833,174.3
Westport,-41.7545,171.6006
Waipawa,-39.9333,176.5833
Pahiatua,-40.45,175.85
Tikipunga,-35.6833,174.3333
Governors Bay,-43.6333,172.65
Raumati Beach,-40.9167,174.9667
Renwick,-41.5083,173.8333
Waihi Beach,-37.4,175.9333
Mangawhai,-36.1167,174.5833
Arrowtown,-44.9667,168.8333
Ashhurst,-40.3,175.75
Mangakino,-38.3667,175.7667
Turangi,-38.99,175.81
Kawakawa,-35.3833,174.0667
Patea,-39.7583,174.475
Shannon,-40.55,175.4
Lake Tekapo,-44.0042,170.4775
Akaroa,-43.8,172.9667
Franz Josef,-43.3856,170.1826
Mapua,-41.25,173.1
Nuhaka,-39.0333,177.7333
Matarangi,-36.7333,175.6667
Hokitika,-42.7167,170.9667
Waikouaiti,-45.6,170.6667
Manapouri,-45.5667,167.6
Piopio,-38.4667,175.0167
Roxburgh,-45.55,169.3167
Whangarei Heads,-35.8167,174.5167
Murchison,-41.8,172.3333
Eketahuna,-40.65,175.7
Seddon,-41.6667,174.0667
Tapanui,-45.95,169.2667
Lumsden,-45.7333,168.45
Wakefield,-41.4,173.05
Tuatapere,-46.1333,167.6833
Bull Creek,-46.2667,169.85
Ohau,-44.2333,170.0833
Blackball,-42.3667,171.4
Culverden,-42.7833,172.85
Ohakune,-39.4167,175.4
Whakapapa Village,-39.2,175.5333
Ohai,-46.1167,167.85
Hokio Beach,-40.6,175.2167
Haast,-43.8833,169.05
Harihari,-43.15,170.55
Otautau,-46.1333,168.0
Owaka,-46.45,169.6667
Tikitiki,-37.75,178.3167
Collingwood,-40.6833,172.6833
Halfmoon Bay,-46.8983,168.1367
Waimangaroa,-41.7667,171.7833
Whataroa,-43.2667,170.3667
Glenorchy,-44.85,168.3833
Moana,-42.5833,171.4833
Paparoa,-36.1,174.25
Clyde,-45.1833,169.3167
Fox Glacier,-43.4667,170.0167
Wairau Valley,-41.5833,173.5167
Athol,-45.5333,168.6667
Te Kopuru,-35.9667,173.6667
Rotoma,-38.0333,176.5833
Mokau,-38.7,174.6167
Punakaiki,-42.1167,171.3333
Moerewa,-35.3833,174.0333
Waiomio,-35.4,174.0667
Urenui,-38.9833,174.3833
Te Teko,-38.0333,176.8
Waharoa,-37.75,175.6667
Pokeno,-37.2333,175.0167
Mamaku,-38.0833,176.0833
Taneatua,-38.0667,177.0
Waverley,-39.775,174.6333
Kawhia,-38.0667,174.8167
Ohaeawai,-35.3333,173.8833
Dobson,-42.45,171.3
Ruakaka,-35.9167,174.45
Riverton,-46.35,168.0167
Naseby,-45.0167,170.1
Queenstown Hill,-45.0167,168.6667
Himatangi Beach,-40.3833,175.2167
Great Barrier Island,-36.1833,175.4167
Waitangi,-35.2667,174.0833
Ngunguru,-35.6167,174.5
Kaiteriteri,-41.0333,173.0167
Ruawai,-36.1333,174.0333
Ruatoria,-37.8833,178.3167
Castle Hill,-43.2333,171.7167
Waipara,-43.0667,172.7667
Colville,-36.6667,175.5
Pauanui,-37.0167,175.8667
Koutu,-38.15,176.2333
Onewhero,-37.3333,174.9
Northland,-35.7300,174.3233
Waikato,-37.7870,175.2793
Bay of Plenty,-37.6878,176.1651
Hawke's Bay,-39.4928,176.9120
Taranaki,-39.0556,174.0752
Manawatu-Whanganui,-40.3564,175.6117
Tasman,-41.2708,173.2840
Marlborough,-41.5134,173.9612
West Coast,-42.4504,171.2108
Canterbury,-43.5320,172.6306
Otago,-45.8788,170.5028
Southland,-46.4132,168.3538
Wairarapa,-41.2500,175.6667
Central Otago,-45.0312,169.1900
Fiordland,-45.4167,167.7167
Coromandel Peninsula,-36.7582,175.5103
Kapiti Coast,-40.9167,175.0167
Clutha,-46.2417,169.7500
Waitaki,-44.9706,170.9595
Mackenzie Country,-44.2558,170.1017
Far North,-35.1167,173.2667
Waimakariri,-43.3031,172.5947
Rotorua Lakes,-38.1368,176.2497
Selwyn,-43.6500,172.4833
Queenstown-Lakes,-45.0312,168.6626
Horowhenua,-40.6333,175.2833
South Waikato,-38.2333,175.8667
Ruapehu,-39.2739,175.5675
Kaipara,-36.1439,174.4439
Hauraki,-37.3835,175.7080
Hurunui,-42.8500,172.7333
Buller,-41.7545,171.6006
Grey District,-42.4504,171.2108
Westland,-42.8833,170.8167
Central Hawke's Bay,-40.0083,176.5553
Chatham Islands,-44.0233,-176.5433
Stewart Island,-46.9973,167.8748
